# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles'
# Event count (approx.): 6102347960
#
# Overhead  Command   Shared Object      Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
# ........  ........  .................  .............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     3.57%  wasmtime  libc-2.31.so       [.] __nss_database_lookup
     2.51%  wasmtime  [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     1.54%  wasmtime  wasmtime           [.] sha2::sha256::soft::sha256_digest_round_x2
     1.40%  wasmtime  wasmtime           [.] sha2::sha256::soft::sha256_digest_block_u32
     0.80%  wasmtime  libc-2.31.so       [.] malloc
     0.78%  wasmtime  [kernel.kallsyms]  [k] do_syscall_64
     0.72%  wasmtime  [kernel.kallsyms]  [k] syscall_return_via_sysret
     0.69%  wasmtime  wasmtime           [.] sha2::sha256::soft::sha256msg1::sigma0x4
     0.61%  wasmtime  [kernel.kallsyms]  [k] cshook_security_inode_free_security
     0.57%  wasmtime  [kernel.kallsyms]  [k] __add_to_page_cache_locked
     0.57%  wasmtime  [kernel.kallsyms]  [k] try_charge
     0.56%  wasmtime  wasmtime           [.] core::ptr::mut_ptr::<impl *mut T>::guaranteed_eq
     0.56%  wasmtime  [kernel.kallsyms]  [k] clear_page_erms
     0.53%  wasmtime  wasmtime           [.] wasi_common::snapshots::preview_1::wasi_snapshot_preview1::fd_read::{{closure}}
     0.51%  wasmtime  wasmtime           [.] core::sync::atomic::atomic_load
     0.51%  wasmtime  wasmtime           [.] sha2::sha256::soft::schedule
     0.50%  wasmtime  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.47%  wasmtime  [kernel.kallsyms]  [k] cshook_security_netlink_send
     0.43%  wasmtime  [kernel.kallsyms]  [k] cshook_network_ops_inet6_sockraw_release
     0.41%  wasmtime  [kernel.kallsyms]  [k] xas_load
     0.40%  wasmtime  [kernel.kallsyms]  [k] crc32c_pcl_intel_update
     0.40%  wasmtime  wasmtime           [.] core::sync::atomic::atomic_load
     0.39%  wasmtime  wasmtime           [.] wasi_common::snapshots::preview_1::wasi_snapshot_preview1::fd_write::{{closure}}
     0.36%  wasmtime  wasmtime           [.] core::result::Result<T,E>::map
     0.35%  wasmtime  wasmtime           [.] wasi_common::snapshots::preview_1::<impl wasi_common::snapshots::preview_1::wasi_snapshot_preview1::WasiSnapshotPreview1 for wasi_common::ctx::WasiCtx>::fd_read::{{closure}}
     0.35%  wasmtime  wasmtime           [.] hashbrown::raw::RawTableInner<A>::find_inner
     0.35%  wasmtime  wasmtime           [.] core::alloc::layout::Layout::array::inner
     0.33%  wasmtime  [kernel.kallsyms]  [k] active_template+0x800000006f20
     0.33%  wasmtime  wasmtime           [.] core::sync::atomic::atomic_compare_exchange
     0.33%  wasmtime  wasmtime           [.] 0x00000000004221e8
     0.32%  wasmtime  wasmtime           [.] wasmtime_wasi::sync::snapshots::preview_1::add_wasi_snapshot_preview1_to_linker::{{closure}}::{{closure}}
